SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
KHLHARDO,General Services ,WOWIE HAIR MAKOEVER ,STANDARD SERVICE,STANDARD RATE CARD,HAIRCUT
LHHCUTNR,General Services ,"HAIR CUT - REGULAR (STRAIGHT AND 'U',  DEEP 'U', FRONT RAISER )",STANDARD SERVICE,STANDARD RATE CARD,HAIRCUT
LHHCUTAD,General Services ,"HAIR CUT - ADVANCED (LAYER, MUSHROOM, WEDGE)",STANDARD SERVICE,STANDARD RATE CARD,HAIRCUT
LHHCUTCS,General Services ,HAIR MAKEOVER ,STANDARD SERVICE,STANDARD RATE CARD,HAIRCUT
LHSHBDSM,General Services ,SHAMPOO AND BLOW STYLING -  SHORT & MEDIUM HAIR,STANDARD SERVICE,STANDARD RATE CARD,SHAMPOO CONDITIONING & STYLING
LHSHBDLG,General Services ,SHAMPOO AND BLOW STYLING - LONG HAIR,STANDARD SERVICE,STANDARD RATE CARD,SHAMPOO CONDITIONING & STYLING
LHPRSCSM,General Services ,PREMIUM  SHAMPOO AND CONDITIONING - SHORT AND MEDIUM  HAIR ,STANDARD SERVICE,STANDARD RATE CARD,SHAMPOO CONDITIONING & STYLING
LHPRSCLO,General Services ,PREMIUM  SHAMPOO AND CONDITIONING - LONG,STANDARD SERVICE,STANDARD RATE CARD,SHAMPOO CONDITIONING & STYLING
LHCOLROS,General Services ,STREAKS  -PER STREAK (MINIMUM OF 6 STREAK),STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCOLRTU,General Services ,ROOT TOUCH - UP - PRO 10 COLOURING,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCOLRRT,General Services ,ROOT TOUCH - UP -REGULAR COLOURING,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCLPRRT,General Services ,ROOT TOUCH-UP - PREMIUM HAIR COLOURING,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHECOLSH,General Services ,PRO 10  COLOURING - SHORT ,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHECOLME,General Services ,PRO 10  COLOURING COLOURING - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHECOLLO,General Services ,PRO 10  COLOURING COLOURING - LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCOLRGS,General Services ,GLOBAL - COLOURING - SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCOLRGM,General Services ,GLOBAL - COLOURING - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCOLRGL,General Services ,GLOBAL - COLOURING - LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCLPRSH,General Services ,PREMIUM - COLOURING - AMMONIA FREE - SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCLPRME,General Services ,PREMIUM - COLOURING - AMMONIA FREE- MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHCLPRLO,General Services ,PREMIUM - COLOURING - AMMONIA FREE - LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHACOLGS,General Services ,TRENDY  COLOURING - SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHACOLGM,General Services ,TRENDY  COLOURING - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHACOLGL,General Services ,TRENDY  COLOURING - LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR COLOURING
LHACOLSL,General Services ,ADVANCED STREAKS  -PER STREAK (MINIMUM OF 6 STREAK),STANDARD SERVICE,STANDARD RATE CARD,FASHION STREAKS 
LHHENASH,General Services ,HENNA - SHORT,STANDARD SERVICE,STANDARD RATE CARD,HENNA
LHHENAME,General Services ,HENNA - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HENNA
LHHENALG,General Services ,HENNA - LONG,STANDARD SERVICE,STANDARD RATE CARD,HENNA
LHHMSGCO,General Services ,HEAD MASSAGE- COCO NOURISHER ,STANDARD SERVICE,STANDARD RATE CARD,HEAD MESSAGE
LHHMSGMI,General Services ,HEAD MASSAGE- MENTHOL CHILLER ,STANDARD SERVICE,STANDARD RATE CARD,HEAD MESSAGE
LHHMSGOL,General Services ,HEAD MASSAGE-OLIVE BLISS,STANDARD SERVICE,STANDARD RATE CARD,HEAD MESSAGE
LHHMSGAL,General Services ,HEAD MASSAGE-ALMOND INDULGENCE ,STANDARD SERVICE,STANDARD RATE CARD,HEAD MESSAGE
LHEXOSNR,General Services ,EXPRESS OIL SPA ,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHHSPASH,General Services ,HAIR SPA - SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHHSPAME,General Services ,HAIR SPA - MEDIUM ,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHHSPALG,General Services ,HAIR SPA - LONG ,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDCOSLO,General Services ,DEEP CONDITIONING  OIL SPA SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDCOSME,General Services ,DEEP CONDITIONING  OIL SPA MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDCOSSH,General Services ,DEEP CONDITIONING  OIL SPA LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDESPSH,General Services ,DETOX HAIR SPA SHORT,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDESPME,General Services ,DETOX HAIR SPA MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHDESPLO,General Services ,DETOX HAIR SPA LONG,STANDARD SERVICE,STANDARD RATE CARD,HAIR SPA
LHANDTNR,General Services ,ANTI DANDRUFF TREATMENT ,STANDARD SERVICE,STANDARD RATE CARD,BASIC HAIR TMT 
LHIRONSH,General Services ,IRONING SHORT,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHIRONME,General Services ,IRONING MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHIRONLG,General Services ,IRONING LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHRLSTNR,General Services ,ROLLER SETTING ,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHCRIMNR,General Services ,CRIMPING ,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHPERMSH,General Services ,PERMING - SHORT,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHPERMME,General Services ,PERMING - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHPERMLG,General Services ,PERMING - LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHLPKSSH,General Services ,STRAIGHT N SHINE - SHORT,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHLPKSME,General Services ,STRAIGHT N SHINE - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHLPKSLO,General Services ,STRAIGHT N SHINE - LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
